firstName,lastName,fullName,avgRating,avgDifficulty,wouldTakeAgainPercent,numRatings,profLegacyId,schoolLongId,schoolName
Christopher ,Thompson,Christopher  Thompson,0.0,0.0,-1.0,0,2856570,U2Nob29sLTQ4MQ==,Kennesaw State University
Bo ,Li,Bo  Li,0.0,0.0,-1.0,0,2856652,U2Nob29sLTQ4MQ==,Kennesaw State University
Kristen,De Graauw,Kristen De Graauw,5.0,2.0,100.0,1,2858532,U2Nob29sLTQ4MQ==,Kennesaw State University
Dustin,Deuch,Dustin Deuch,0.0,0.0,-1.0,0,2858798,U2Nob29sLTQ4MQ==,Kennesaw State University
William,Boozer,William Boozer,5.0,1.0,100.0,1,2859411,U2Nob29sLTQ4MQ==,Kennesaw State University
Dominique ,McDaniel,Dominique  McDaniel,5.0,1.0,100.0,1,2859428,U2Nob29sLTQ4MQ==,Kennesaw State University
Michael,Braswell,Michael Braswell,0.0,0.0,-1.0,0,2859833,U2Nob29sLTQ4MQ==,Kennesaw State University
Carol,Pierannunzi,Carol Pierannunzi,0.0,0.0,-1.0,0,2860127,U2Nob29sLTQ4MQ==,Kennesaw State University
Ashley ,Rainwater ,Ashley  Rainwater ,0.0,0.0,-1.0,0,2860446,U2Nob29sLTQ4MQ==,Kennesaw State University
Sandra,MaCalla,Sandra MaCalla,0.0,0.0,-1.0,0,2860840,U2Nob29sLTQ4MQ==,Kennesaw State University
Joshua,Lummus,Joshua Lummus,0.0,0.0,-1.0,0,2860900,U2Nob29sLTQ4MQ==,Kennesaw State University
Christopher,Sumner,Christopher Sumner,0.0,0.0,100.0,0,2861125,U2Nob29sLTQ4MQ==,Kennesaw State University
Garfield,Peart,Garfield Peart,0.0,0.0,-1.0,0,2861424,U2Nob29sLTQ4MQ==,Kennesaw State University
Peter,McGaffigan,Peter McGaffigan,0.0,0.0,-1.0,0,2861520,U2Nob29sLTQ4MQ==,Kennesaw State University
Conner,Miller,Conner Miller,0.0,0.0,-1.0,0,2861741,U2Nob29sLTQ4MQ==,Kennesaw State University
Michael,Seaberry,Michael Seaberry,0.0,0.0,-1.0,0,2862129,U2Nob29sLTQ4MQ==,Kennesaw State University
Jodye ,Underwood,Jodye  Underwood,0.0,0.0,100.0,0,2862302,U2Nob29sLTQ4MQ==,Kennesaw State University
Tyrone,Smiley ,Tyrone Smiley ,0.0,0.0,-1.0,0,2862404,U2Nob29sLTQ4MQ==,Kennesaw State University
Yakub,Yahaya,Yakub Yahaya,0.0,0.0,-1.0,0,2862741,U2Nob29sLTQ4MQ==,Kennesaw State University
